trial,type,wf,response,RT,correct,subj,length,delay,block
11,target,LF,1,0.944999993,1,0,Long,Delay,b0
12,lure,LF,0,0.785000026,1,0,Long,Delay,b0
13,target,HF,0,0.77700001,0,0,Long,Delay,b0
14,target,LF,1,0.753000021,1,0,Long,Delay,b0
15,lure,LF,0,0.753000021,1,0,Long,Delay,b0
16,lure,LF,0,0.736999989,1,0,Long,Delay,b0
17,target,HF,1,0.592999995,1,0,Long,Delay,b0
18,target,HF,1,0.640999973,1,0,Long,Delay,b0
19,lure,LF,0,0.728999972,1,0,Long,Delay,b0
20,target,HF,1,0.610000014,1,0,Long,Delay,b0
21,lure,HF,0,0.680999994,1,0,Long,Delay,b0
22,lure,HF,0,0.786000013,1,0,Long,Delay,b0
23,target,LF,0,0.640999973,0,0,Long,Delay,b0
24,lure,LF,0,1.032999992,1,0,Long,Delay,b1
25,target,LF,1,0.633000016,1,0,Long,Delay,b1
26,target,HF,1,0.657000005,1,0,Long,Delay,b1
27,lure,LF,0,0.745000005,1,0,Long,Delay,b1
28,target,HF,1,0.697000027,1,0,Long,Delay,b1
29,target,LF,1,0.841000021,1,0,Long,Delay,b1
30,target,HF,1,0.721000016,1,0,Long,Delay,b1
31,target,LF,1,0.713,1,0,Long,Delay,b1
32,lure,LF,0,0.704999983,1,0,Long,Delay,b1
33,target,HF,1,0.704999983,1,0,Long,Delay,b1
34,lure,LF,0,0.640999973,1,0,Long,Delay,b1
35,target,HF,1,0.865999997,1,0,Long,Delay,b1
36,lure,HF,1,1.008999944,0,0,Long,Delay,b1
37,lure,LF,0,0.681999981,1,0,Long,Delay,b1
38,lure,LF,1,1.01699996,0,0,Long,Delay,b1
39,target,HF,1,0.625,1,0,Long,Delay,b1
40,target,HF,1,0.657000005,1,0,Long,Delay,b1
41,lure,HF,0,0.753000021,1,0,Long,Delay,b1
42,target,HF,1,0.665000021,1,0,Long,Delay,b1
43,lure,HF,0,0.968999982,1,0,Long,Delay,b1
44,lure,LF,0,0.704999983,1,0,Long,Delay,b1
45,target,LF,0,0.903999984,0,0,Long,Delay,b1
46,target,LF,1,0.665000021,1,0,Long,Delay,b1
47,target,LF,1,0.841000021,1,0,Long,Delay,b1
48,lure,HF,0,0.833000004,1,0,Long,Delay,b2
49,lure,HF,0,0.833000004,1,0,Long,Delay,b2
50,lure,HF,0,0.601000011,1,0,Long,Delay,b2
51,target,HF,0,0.648999989,0,0,Long,Delay,b2
52,target,HF,0,1.034000039,0,0,Long,Delay,b2
53,target,HF,1,0.713999987,1,0,Long,Delay,b2
54,target,LF,1,0.64200002,1,0,Long,Delay,b2
55,target,HF,1,0.736999989,1,0,Long,Delay,b2
56,target,HF,1,0.728999972,1,0,Long,Delay,b2
57,target,LF,1,0.833000004,1,0,Long,Delay,b2
58,target,LF,1,0.697000027,1,0,Long,Delay,b2
59,lure,HF,1,0.760999978,0,0,Long,Delay,b2
60,lure,LF,1,0.848999977,0,0,Long,Delay,b2
61,target,HF,1,0.721000016,1,0,Long,Delay,b2
62,target,HF,1,0.648999989,1,0,Long,Delay,b2
63,lure,LF,0,1.144999981,1,0,Long,Delay,b2
64,lure,HF,0,0.680999994,1,0,Long,Delay,b2
65,lure,HF,0,0.889999986,1,0,Long,Delay,b2
66,lure,LF,0,1.008999944,1,0,Long,Delay,b2
67,target,HF,1,0.873000026,1,0,Long,Delay,b2
68,lure,LF,0,0.848999977,1,0,Long,Delay,b2
69,target,LF,1,0.728999972,1,0,Long,Delay,b2
70,lure,LF,1,0.86500001,0,0,Long,Delay,b2
